weight,eps,min_samples,n_clusters,n_noise,silhouette
1.2105263157894737,0.55,3,3,5,0.3174
1.2105263157894737,0.56,3,3,5,0.3174
1.2105263157894737,0.57,3,3,5,0.3174
1.2105263157894737,0.58,3,3,5,0.3174
1.4210526315789473,0.36,4,4,45,0.1667
1.4210526315789473,0.37,4,4,40,0.0797
1.4210526315789473,0.38,3,5,17,0.1313
1.4210526315789473,0.38,4,3,34,0.2821
1.4210526315789473,0.38,5,3,49,0.1898
1.4210526315789473,0.39,3,5,16,0.1302
1.4210526315789473,0.39,4,3,28,0.282
1.4210526315789473,0.39,5,3,42,0.1964
1.4210526315789473,0.4,3,5,16,0.1302
1.4210526315789473,0.4,5,3,38,0.1957
1.4210526315789473,0.41,3,5,14,0.1299
1.4210526315789473,0.41,6,3,38,0.2189
1.4210526315789473,0.42,3,5,14,0.1299
1.4210526315789473,0.43,3,5,12,0.1271
1.4210526315789473,0.43,4,3,20,0.2599
1.4210526315789473,0.44,3,4,12,0.1492
1.4210526315789473,0.45,3,4,11,0.149
1.4210526315789473,0.46,3,4,9,0.147
1.4210526315789473,0.47,3,4,9,0.147
1.4210526315789473,0.48,3,4,8,0.1469
1.4210526315789473,0.49,3,4,8,0.1469
1.4210526315789473,0.5,3,4,8,0.1469
1.4210526315789473,0.51,3,3,8,0.3219
1.4210526315789473,0.52,3,3,7,0.3205
1.4210526315789473,0.53,3,3,5,0.3174
1.4210526315789473,0.54,3,3,5,0.3174
1.4210526315789473,0.55,3,3,5,0.3174
1.4210526315789473,0.56,3,3,5,0.3174
1.4210526315789473,0.57,3,3,5,0.3174
1.4210526315789473,0.58,3,3,5,0.3174
1.631578947368421,0.36,4,4,45,0.1667
1.631578947368421,0.37,4,4,40,0.0797
1.631578947368421,0.38,3,5,17,0.1313
1.631578947368421,0.38,4,3,34,0.2821
1.631578947368421,0.38,5,3,49,0.1898
1.631578947368421,0.39,3,5,16,0.1302
1.631578947368421,0.39,4,3,28,0.282
1.631578947368421,0.39,5,3,42,0.1964
1.631578947368421,0.4,3,5,16,0.1302
1.631578947368421,0.4,5,3,38,0.1957
1.631578947368421,0.41,3,5,14,0.1299
1.631578947368421,0.41,6,3,38,0.2189
1.631578947368421,0.42,3,5,14,0.1299
1.631578947368421,0.43,3,5,12,0.1271
1.631578947368421,0.43,4,3,20,0.2599
1.631578947368421,0.44,3,4,12,0.1492
1.631578947368421,0.45,3,4,11,0.149
1.631578947368421,0.46,3,4,9,0.147
1.631578947368421,0.47,3,4,9,0.147
1.631578947368421,0.48,3,4,8,0.1469
1.631578947368421,0.49,3,4,8,0.1469
1.631578947368421,0.5,3,4,8,0.1469
1.631578947368421,0.51,3,3,8,0.3219
1.631578947368421,0.52,3,3,7,0.3205
1.631578947368421,0.53,3,3,5,0.3174
1.631578947368421,0.54,3,3,5,0.3174
1.631578947368421,0.55,3,3,5,0.3174
1.631578947368421,0.56,3,3,5,0.3174
1.631578947368421,0.57,3,3,5,0.3174
1.631578947368421,0.58,3,3,5,0.3174
1.8421052631578947,0.36,4,4,45,0.1667
1.8421052631578947,0.37,4,4,40,0.0797
1.8421052631578947,0.38,3,5,17,0.1313
1.8421052631578947,0.38,4,3,34,0.2821
1.8421052631578947,0.38,5,3,49,0.1898
1.8421052631578947,0.39,3,5,16,0.1302
1.8421052631578947,0.39,4,3,28,0.282
1.8421052631578947,0.39,5,3,42,0.1964
1.8421052631578947,0.4,3,5,16,0.1302
1.8421052631578947,0.4,5,3,38,0.1957
1.8421052631578947,0.41,3,5,14,0.1299
1.8421052631578947,0.41,6,3,38,0.2189
1.8421052631578947,0.42,3,5,14,0.1299
1.8421052631578947,0.43,3,5,12,0.1271
1.8421052631578947,0.43,4,3,20,0.2599
1.8421052631578947,0.44,3,4,12,0.1492
1.8421052631578947,0.45,3,4,11,0.149
1.8421052631578947,0.46,3,4,9,0.147
1.8421052631578947,0.47,3,4,9,0.147
1.8421052631578947,0.48,3,4,8,0.1469
1.8421052631578947,0.49,3,4,8,0.1469
1.8421052631578947,0.5,3,4,8,0.1469
1.8421052631578947,0.51,3,3,8,0.3219
1.8421052631578947,0.52,3,3,7,0.3205
1.8421052631578947,0.53,3,3,5,0.3174
1.8421052631578947,0.54,3,3,5,0.3174
1.8421052631578947,0.55,3,3,5,0.3174
1.8421052631578947,0.56,3,3,5,0.3174
1.8421052631578947,0.57,3,3,5,0.3174
1.8421052631578947,0.58,3,3,5,0.3174
2.052631578947368,0.36,4,4,45,0.1667
2.052631578947368,0.37,4,4,40,0.0797
2.052631578947368,0.38,3,5,17,0.1313
2.052631578947368,0.38,4,3,34,0.2821
2.052631578947368,0.38,5,3,49,0.1898
2.052631578947368,0.39,3,5,16,0.1302
2.052631578947368,0.39,4,3,28,0.282
2.052631578947368,0.39,5,3,42,0.1964
2.052631578947368,0.4,3,5,16,0.1302
2.052631578947368,0.4,5,3,38,0.1957
2.052631578947368,0.41,3,5,14,0.1299
2.052631578947368,0.41,6,3,38,0.2189
2.052631578947368,0.42,3,5,14,0.1299
2.052631578947368,0.43,3,5,12,0.1271
2.052631578947368,0.43,4,3,20,0.2599
2.052631578947368,0.44,3,4,12,0.1492
2.052631578947368,0.45,3,4,11,0.149
2.052631578947368,0.46,3,4,9,0.147
2.052631578947368,0.47,3,4,9,0.147
2.052631578947368,0.48,3,4,8,0.1469
2.052631578947368,0.49,3,4,8,0.1469
2.052631578947368,0.5,3,4,8,0.1469
2.052631578947368,0.51,3,3,8,0.3219
2.052631578947368,0.52,3,3,7,0.3205
2.052631578947368,0.53,3,3,5,0.3174
2.052631578947368,0.54,3,3,5,0.3174
2.052631578947368,0.55,3,3,5,0.3174
2.052631578947368,0.56,3,3,5,0.3174
2.052631578947368,0.57,3,3,5,0.3174
2.052631578947368,0.58,3,3,5,0.3174
2.263157894736842,0.36,4,4,45,0.1667
2.263157894736842,0.37,4,4,40,0.0797
2.263157894736842,0.38,3,5,17,0.1313
2.263157894736842,0.38,4,3,34,0.2821
2.263157894736842,0.38,5,3,49,0.1898
2.263157894736842,0.39,3,5,16,0.1302
2.263157894736842,0.39,4,3,28,0.282
2.263157894736842,0.39,5,3,42,0.1964
2.263157894736842,0.4,3,5,16,0.1302
2.263157894736842,0.4,5,3,38,0.1957
2.263157894736842,0.41,3,5,14,0.1299
2.263157894736842,0.41,6,3,38,0.2189
2.263157894736842,0.42,3,5,14,0.1299
2.263157894736842,0.43,3,5,12,0.1271
2.263157894736842,0.43,4,3,20,0.2599
2.263157894736842,0.44,3,4,12,0.1492
2.263157894736842,0.45,3,4,11,0.149
2.263157894736842,0.46,3,4,9,0.147
2.263157894736842,0.47,3,4,9,0.147
2.263157894736842,0.48,3,4,8,0.1469
2.263157894736842,0.49,3,4,8,0.1469
2.263157894736842,0.5,3,4,8,0.1469
2.263157894736842,0.51,3,3,8,0.3219
2.263157894736842,0.52,3,3,7,0.3205
2.263157894736842,0.53,3,3,5,0.3174
2.263157894736842,0.54,3,3,5,0.3174
2.263157894736842,0.55,3,3,5,0.3174
2.263157894736842,0.56,3,3,5,0.3174
2.263157894736842,0.57,3,3,5,0.3174
2.263157894736842,0.58,3,3,5,0.3174
2.473684210526316,0.36,4,4,45,0.1667
2.473684210526316,0.37,4,4,40,0.0797
2.473684210526316,0.38,3,5,17,0.1313
2.473684210526316,0.38,4,3,34,0.2821
2.473684210526316,0.38,5,3,49,0.1898
2.473684210526316,0.39,3,5,16,0.1302
2.473684210526316,0.39,4,3,28,0.282
